year_doy_hhmm,year_doy_hhmm,argosid,latitude,longitude,strain,voltage,sst,checksum
2018-06-17 10:26:00,2018-06-17 10:26:00,139910,69.268,167.225,19.0,10.0,2.64,True
2018-06-17 11:25:00,2018-06-17 11:25:00,139910,69.259,167.220,28.0,10.2,2.64,True
2018-06-17 12:21:00,2018-06-17 12:21:00,139910,69.258,167.235,28.0,10.2,2.64,True
2018-06-17 13:03:00,2018-06-17 13:03:00,139910,69.254,167.254,28.0,10.2,2.64,True
2018-06-17 14:01:00,2018-06-17 14:01:00,139910,69.250,167.280,28.0,10.2,2.64,True
2018-06-17 14:40:00,2018-06-17 14:40:00,139910,69.244,167.280,28.0,10.2,2.60,True
2018-06-17 15:13:00,2018-06-17 15:13:00,139910,69.242,167.280,22.0,10.2,2.64,True
2018-06-17 15:42:00,2018-06-17 15:42:00,139910,69.238,167.288,22.0,10.2,2.60,True
2018-06-17 16:27:00,2018-06-17 16:27:00,139910,69.233,167.302,22.0,10.2,2.60,True
2018-06-17 16:39:00,2018-06-17 16:39:00,139910,69.237,167.295,22.0,10.2,2.60,True
2018-06-17 17:25:00,2018-06-17 17:25:00,139910,69.226,167.309,22.0,10.2,2.64,True
2018-06-17 18:07:00,2018-06-17 18:07:00,139910,69.228,167.326,22.0,10.2,2.60,True
2018-06-17 18:21:00,2018-06-17 18:21:00,139910,69.221,167.321,22.0,10.2,2.60,True
2018-06-17 18:36:00,2018-06-17 18:36:00,139910,69.221,167.312,22.0,10.2,2.60,True
2018-06-17 19:00:00,2018-06-17 19:00:00,139910,69.218,167.315,29.0,10.2,2.64,True
2018-06-17 19:03:00,2018-06-17 19:03:00,139910,69.217,167.325,29.0,10.2,2.64,True
2018-06-17 19:48:00,2018-06-17 19:48:00,139910,69.213,167.332,29.0,10.2,2.64,True
2018-06-17 19:40:00,2018-06-17 19:40:00,139910,69.212,167.333,29.0,10.2,2.64,True
2018-06-17 21:21:00,2018-06-17 21:21:00,139910,69.199,167.348,29.0,10.2,2.68,True
2018-06-17 21:39:00,2018-06-17 21:39:00,139910,69.196,167.335,29.0,10.2,2.68,True
