datetime,argosid,latitude,longitude,strain,voltage,sst,checksum,ice_concentration
2018-06-17 10:00:00,139910,69.268,-167.225,19.0,10.0,2.64,1.0,0.0
2018-06-17 11:00:00,139910,69.259,-167.22,28.0,10.2,2.64,1.0,0.0
2018-06-17 12:00:00,139910,69.258,-167.235,28.0,10.2,2.64,1.0,0.0
2018-06-17 13:00:00,139910,69.254,-167.254,28.0,10.2,2.64,1.0,0.0
2018-06-17 14:00:00,139910,69.247,-167.28,28.0,10.2,2.62,1.0,0.0
2018-06-17 15:00:00,139910,69.24,-167.284,22.0,10.2,2.62,1.0,0.0
2018-06-17 16:00:00,139910,69.235,-167.298,22.0,10.2,2.6,1.0,0.0
2018-06-17 17:00:00,139910,69.226,-167.309,22.0,10.2,2.64,1.0,0.0
2018-06-17 18:00:00,139910,69.223,-167.32,22.0,10.2,2.6,1.0,0.0
2018-06-17 19:00:00,139910,69.215,-167.326,29.0,10.2,2.64,1.0,0.0
2018-06-17 21:00:00,139910,69.197,-167.344,29.0,10.2,2.68,1.0,0.0
2018-06-17 22:00:00,139910,69.19,-167.356,29.0,10.2,2.72,1.0,0.0
2018-06-17 23:00:00,139910,69.183,-167.359,28.0,10.2,2.76,1.0,0.0
2018-06-18 00:00:00,139910,69.178,-167.37,28.0,10.2,2.81,1.0,0.0
2018-06-18 01:00:00,139910,69.171,-167.376,28.0,10.2,2.9,1.0,0.0
2018-06-18 02:00:00,139910,69.166,-167.386,28.0,10.2,3.05,1.0,0.0
2018-06-18 03:00:00,139910,69.16,-167.397,26.0,10.2,3.04,1.0,0.0
2018-06-18 04:00:00,139910,69.157,-167.398,26.0,10.2,3.05,1.0,0.0
2018-06-18 05:00:00,139910,69.156,-167.397,26.0,10.2,3.03,1.0,0.0
2018-06-18 06:00:00,139910,69.151,-167.393,26.0,10.2,2.99,1.0,0.0
2018-06-18 07:00:00,139910,69.144,-167.41,28.0,10.2,2.92,1.0,0.0
2018-06-18 09:00:00,139910,69.139,-167.41,28.0,10.2,2.88,1.0,0.0
2018-06-18 10:00:00,139910,69.128,-167.414,28.0,10.2,2.96,1.0,0.0
2018-06-18 12:00:00,139910,69.123,-167.414,24.0,10.2,2.92,1.0,0.0
2018-06-18 13:00:00,139910,69.119,-167.436,24.0,10.2,2.92,1.0,0.0
2018-06-18 14:00:00,139910,69.11,-167.413,24.0,10.2,2.88,1.0,0.0
